data,_loaded_at
"{""product_id"": ""P-328"", ""name"": "" Apple Televisions "", ""category"": ""ELECTRONICS"", ""sub_category"": ""laptops"", ""brand"": ""lg"", ""is_available"": ""1"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""4.5"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 212.78, ""list_price"": 267.1, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""31"", ""reorder_lvl"": ""12"", ""warehouse"": ""WH-NORTH""}}",2024-01-07 17:12:00
"{""product_id"": ""P-367"", ""name"": "" Sony Shoes "", ""category"": ""ELECTRONICS"", ""sub_category"": ""phones"", ""brand"": ""adidas"", ""is_available"": ""NO"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""3.3"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 945.77, ""list_price"": 1317.27, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""28"", ""reorder_lvl"": ""19"", ""warehouse"": ""WH-WEST""}}",2024-01-24 12:06:00
"{""product_id"": ""P-184"", ""name"": "" Sony Televisions "", ""category"": ""HOME GOODS"", ""sub_category"": ""televisions"", ""brand"": ""sony"", ""is_available"": ""YES"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""12.4"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 1262.47, ""list_price"": 1702.61, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""5"", ""reorder_lvl"": ""19"", ""warehouse"": ""WH-NORTH""}}",2024-02-19 22:04:00
"{""product_id"": ""P-024"", ""name"": "" Samsung Kitchen "", ""category"": ""Apparel"", ""sub_category"": ""kitchen"", ""brand"": ""adidas"", ""is_available"": ""YES"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""7.2"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 1083.93, ""list_price"": 1339.46, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""10"", ""reorder_lvl"": ""12"", ""warehouse"": ""WH-NORTH""}}",2024-06-23 20:04:00
"{""product_id"": ""P-312"", ""name"": "" Lg Kitchen "", ""category"": ""Apparel"", ""sub_category"": ""laptops"", ""brand"": ""apple"", ""is_available"": ""false"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""15.4"", ""warranty_yr"": ""1""}, ""pricing"": {""cost_price"": 919.34, ""list_price"": 1288.21, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""31"", ""reorder_lvl"": ""10"", ""warehouse"": ""WH-WEST""}}",2024-01-09 10:25:00
"{""product_id"": ""P-138"", ""name"": "" Apple Kitchen "", ""category"": ""HOME GOODS"", ""sub_category"": ""kitchen"", ""brand"": ""apple"", ""is_available"": ""YES"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""15.0"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 154.94, ""list_price"": 179.07, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""72"", ""reorder_lvl"": ""15"", ""warehouse"": ""WH-EAST""}}",2024-05-29 13:57:00
"{""product_id"": ""P-299"", ""name"": "" Samsung Televisions "", ""category"": ""ELECTRONICS"", ""sub_category"": ""phones"", ""brand"": ""adidas"", ""is_available"": ""0"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""8.6"", ""warranty_yr"": ""1""}, ""pricing"": {""cost_price"": 487.13, ""list_price"": 828.83, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""17"", ""reorder_lvl"": ""20"", ""warehouse"": ""WH-EAST""}}",2024-04-07 19:29:00
"{""product_id"": ""P-271"", ""name"": "" Adidas Laptops "", ""category"": ""Apparel"", ""sub_category"": ""shoes"", ""brand"": ""samsung"", ""is_available"": ""YES"", ""tags"": [""sale"", ""popular""], ""specs"": {""weight_kg"": ""9.2"", ""warranty_yr"": ""3""}, ""pricing"": {""cost_price"": 389.68, ""list_price"": 540.26, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""1"", ""reorder_lvl"": ""8"", ""warehouse"": ""WH-NORTH""}}",2024-02-15 16:58:00
"{""product_id"": ""P-055"", ""name"": "" Apple Shoes "", ""category"": ""electronics"", ""sub_category"": ""laptops"", ""brand"": ""sony"", ""is_available"": ""1"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""9.9"", ""warranty_yr"": ""1""}, ""pricing"": {""cost_price"": 1082.37, ""list_price"": 1747.51, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""81"", ""reorder_lvl"": ""11"", ""warehouse"": ""WH-EAST""}}",2024-03-19 07:03:00
"{""product_id"": ""P-124"", ""name"": "" Samsung Laptops "", ""category"": ""electronics"", ""sub_category"": ""phones"", ""brand"": ""adidas"", ""is_available"": ""NO"", ""tags"": [""smart"", ""4K"", ""OLED""], ""specs"": {""weight_kg"": ""3.5"", ""warranty_yr"": ""5""}, ""pricing"": {""cost_price"": 1548.52, ""list_price"": 1762.12, ""currency"": ""USD""}, ""stock"": {""qty_on_hand"": ""10"", ""reorder_lvl"": ""20"", ""warehouse"": ""WH-NORTH""}}",2024-04-18 06:59:00
